Task,Layer,TopK,Metric,Value
german,0,50,Unique,3
german,0,50,Shared,47
german,0,100,Unique,2
german,0,100,Shared,98
german,0,500,Unique,10
german,0,500,Shared,490
german,0,1000,Unique,10
german,0,1000,Shared,990
german,0,2000,Unique,3
german,0,2000,Shared,1997
german,0,3000,Unique,498
german,0,3000,Shared,2502
german,0,5000,Unique,1874
german,0,5000,Shared,3126
german,1,50,Unique,0
german,1,50,Shared,50
german,1,100,Unique,3
german,1,100,Shared,97
german,1,500,Unique,7
german,1,500,Shared,493
german,1,1000,Unique,9
german,1,1000,Shared,991
german,1,2000,Unique,5
german,1,2000,Shared,1995
german,1,3000,Unique,287
german,1,3000,Shared,2713
german,1,5000,Unique,1252
german,1,5000,Shared,3748
german,2,50,Unique,2
german,2,50,Shared,48
german,2,100,Unique,2
german,2,100,Shared,98
german,2,500,Unique,9
german,2,500,Shared,491
german,2,1000,Unique,11
german,2,1000,Shared,989
german,2,2000,Unique,11
german,2,2000,Shared,1989
german,2,3000,Unique,170
german,2,3000,Shared,2830
german,2,5000,Unique,543
german,2,5000,Shared,4457
german,3,50,Unique,2
german,3,50,Shared,48
german,3,100,Unique,4
german,3,100,Shared,96
german,3,500,Unique,86
german,3,500,Shared,414
german,3,1000,Unique,169
german,3,1000,Shared,831
german,3,2000,Unique,289
german,3,2000,Shared,1711
german,3,3000,Unique,399
german,3,3000,Shared,2601
german,3,5000,Unique,898
german,3,5000,Shared,4102
german,4,50,Unique,1
german,4,50,Shared,49
german,4,100,Unique,3
german,4,100,Shared,97
german,4,500,Unique,5
german,4,500,Shared,495
german,4,1000,Unique,86
german,4,1000,Shared,914
german,4,2000,Unique,182
german,4,2000,Shared,1818
german,4,3000,Unique,273
german,4,3000,Shared,2727
german,4,5000,Unique,450
german,4,5000,Shared,4550
german,5,50,Unique,2
german,5,50,Shared,48
german,5,100,Unique,3
german,5,100,Shared,97
german,5,500,Unique,42
german,5,500,Shared,458
german,5,1000,Unique,72
german,5,1000,Shared,928
german,5,2000,Unique,145
german,5,2000,Shared,1855
german,5,3000,Unique,197
german,5,3000,Shared,2803
german,5,5000,Unique,263
german,5,5000,Shared,4737
german,6,50,Unique,1
german,6,50,Shared,49
german,6,100,Unique,1
german,6,100,Shared,99
german,6,500,Unique,34
german,6,500,Shared,466
german,6,1000,Unique,82
german,6,1000,Shared,918
german,6,2000,Unique,146
german,6,2000,Shared,1854
german,6,3000,Unique,205
german,6,3000,Shared,2795
german,6,5000,Unique,286
german,6,5000,Shared,4714
german,7,50,Unique,2
german,7,50,Shared,48
german,7,100,Unique,3
german,7,100,Shared,97
german,7,500,Unique,33
german,7,500,Shared,467
german,7,1000,Unique,68
german,7,1000,Shared,932
german,7,2000,Unique,115
german,7,2000,Shared,1885
german,7,3000,Unique,168
german,7,3000,Shared,2832
german,7,5000,Unique,235
german,7,5000,Shared,4765
german,8,50,Unique,1
german,8,50,Shared,49
german,8,100,Unique,6
german,8,100,Shared,94
german,8,500,Unique,46
german,8,500,Shared,454
german,8,1000,Unique,70
german,8,1000,Shared,930
german,8,2000,Unique,120
german,8,2000,Shared,1880
german,8,3000,Unique,146
german,8,3000,Shared,2854
german,8,5000,Unique,272
german,8,5000,Shared,4728
german,9,50,Unique,0
german,9,50,Shared,50
german,9,100,Unique,4
german,9,100,Shared,96
german,9,500,Unique,47
german,9,500,Shared,453
german,9,1000,Unique,77
german,9,1000,Shared,923
german,9,2000,Unique,116
german,9,2000,Shared,1884
german,9,3000,Unique,161
german,9,3000,Shared,2839
german,9,5000,Unique,279
german,9,5000,Shared,4721
german,10,50,Unique,3
german,10,50,Shared,47
german,10,100,Unique,6
