Task,Layer,TopK,Metric,Value
german,0,50,Unique,0
german,0,50,Shared,50
german,0,100,Unique,2
german,0,100,Shared,98
german,0,500,Unique,71
german,0,500,Shared,429
german,0,1000,Unique,211
german,0,1000,Shared,789
german,0,2000,Unique,744
german,0,2000,Shared,1256
german,0,3000,Unique,1548
german,0,3000,Shared,1452
german,0,5000,Unique,3329
german,0,5000,Shared,1671
german,1,50,Unique,2
german,1,50,Shared,48
german,1,100,Unique,4
german,1,100,Shared,96
german,1,500,Unique,20
german,1,500,Shared,480
german,1,1000,Unique,25
german,1,1000,Shared,975
german,1,2000,Unique,107
german,1,2000,Shared,1893
german,1,3000,Unique,303
german,1,3000,Shared,2697
german,1,5000,Unique,1345
german,1,5000,Shared,3655
german,2,50,Unique,1
german,2,50,Shared,49
german,2,100,Unique,5
german,2,100,Shared,95
german,2,500,Unique,17
german,2,500,Shared,483
german,2,1000,Unique,29
german,2,1000,Shared,971
german,2,2000,Unique,82
german,2,2000,Shared,1918
german,2,3000,Unique,125
german,2,3000,Shared,2875
german,2,5000,Unique,290
german,2,5000,Shared,4710
german,3,50,Unique,1
german,3,50,Shared,49
german,3,100,Unique,3
german,3,100,Shared,97
german,3,500,Unique,11
german,3,500,Shared,489
german,3,1000,Unique,19
german,3,1000,Shared,981
german,3,2000,Unique,27
german,3,2000,Shared,1973
german,3,3000,Unique,37
german,3,3000,Shared,2963
german,3,5000,Unique,66
german,3,5000,Shared,4934
german,4,50,Unique,1
german,4,50,Shared,49
german,4,100,Unique,3
german,4,100,Shared,97
german,4,500,Unique,21
german,4,500,Shared,479
german,4,1000,Unique,54
german,4,1000,Shared,946
german,4,2000,Unique,48
german,4,2000,Shared,1952
german,4,3000,Unique,51
german,4,3000,Shared,2949
german,4,5000,Unique,89
german,4,5000,Shared,4911
german,5,50,Unique,1
german,5,50,Shared,49
german,5,100,Unique,3
german,5,100,Shared,97
german,5,500,Unique,39
german,5,500,Shared,461
german,5,1000,Unique,27
german,5,1000,Shared,973
german,5,2000,Unique,47
german,5,2000,Shared,1953
german,5,3000,Unique,74
german,5,3000,Shared,2926
german,5,5000,Unique,107
german,5,5000,Shared,4893
german,6,50,Unique,1
german,6,50,Shared,49
german,6,100,Unique,2
german,6,100,Shared,98
german,6,500,Unique,20
german,6,500,Shared,480
german,6,1000,Unique,39
german,6,1000,Shared,961
german,6,2000,Unique,71
german,6,2000,Shared,1929
german,6,3000,Unique,112
german,6,3000,Shared,2888
german,6,5000,Unique,161
german,6,5000,Shared,4839
german,7,50,Unique,1
german,7,50,Shared,49
german,7,100,Unique,4
german,7,100,Shared,96
german,7,500,Unique,16
german,7,500,Shared,484
german,7,1000,Unique,43
german,7,1000,Shared,957
german,7,2000,Unique,64
german,7,2000,Shared,1936
german,7,3000,Unique,88
german,7,3000,Shared,2912
german,7,5000,Unique,133
german,7,5000,Shared,4867
german,8,50,Unique,3
german,8,50,Shared,47
german,8,100,Unique,5
german,8,100,Shared,95
german,8,500,Unique,25
german,8,500,Shared,475
german,8,1000,Unique,38
german,8,1000,Shared,962
german,8,2000,Unique,61
german,8,2000,Shared,1939
german,8,3000,Unique,77
german,8,3000,Shared,2923
german,8,5000,Unique,111
german,8,5000,Shared,4889
german,9,50,Unique,3
german,9,50,Shared,47
german,9,100,Unique,4
german,9,100,Shared,96
german,9,500,Unique,30
german,9,500,Shared,470
german,9,1000,Unique,47
german,9,1000,Shared,953
german,9,2000,Unique,68
german,9,2000,Shared,1932
german,9,3000,Unique,91
german,9,3000,Shared,2909
german,9,5000,Unique,139
german,9,5000,Shared,4861
german,10,50,Unique,2
german,10,50,Shared,48
german,10,100,Unique,5
german,10,100,Shared,95
german,10,500,Unique,26
german,10,500,Shared,474
german,10,1000,Unique,45
german,10,1000,Shared,955
german,10,2000,Unique,68
german,10,2000,Shared,1932
german,10,3000,Unique,84
german,10,3000,Shared,2916
german,10,5000,Unique,131
