Layer,Sparsity,Mag_Loss,SAE_Loss,Improvement
0,0.25,1.00341796875,0.96806640625,0.035351562500000044
0,0.35,1.02666015625,0.97470703125,0.05195312499999993
0,0.45,1.0484375,0.98076171875,0.06767578124999996
0,0.55,1.0841796875,0.988671875,0.09550781250000007
0,0.65,1.1111328125,1.00380859375,0.10732421874999987
0,0.75,1.150390625,1.0279296875,0.12246093750000009
1,0.25,0.9740234375,0.954150390625,0.019873046875000022
1,0.35,0.9810546875,0.9556640625,0.025390625
1,0.45,0.99150390625,0.95712890625,0.03437499999999993
1,0.55,1.0119140625,0.9625,0.04941406250000002
1,0.65,1.03125,0.96689453125,0.06435546874999998
1,0.75,1.059375,0.97412109375,0.08525390624999996
2,0.25,0.9654296875,0.955078125,0.010351562500000022
2,0.35,0.97099609375,0.9587890625,0.01220703125
2,0.45,0.9794921875,0.96318359375,0.016308593750000044
2,0.55,0.9892578125,0.96708984375,0.022167968750000044
2,0.65,1.0021484375,0.97041015625,0.03173828125
2,0.75,1.01552734375,0.9783203125,0.03720703125000013
3,0.25,0.972265625,0.95947265625,0.012792968750000022
3,0.35,0.9751953125,0.96474609375,0.010449218750000044
3,0.45,0.9853515625,0.96982421875,0.015527343749999978
3,0.55,0.9904296875,0.975390625,0.015039062500000089
3,0.65,0.99990234375,0.98251953125,0.017382812499999956
3,0.75,1.011328125,0.99501953125,0.016308593749999933
4,0.25,0.9994140625,0.96064453125,0.03876953124999993
4,0.35,1.01171875,0.966943359375,0.04477539062500002
4,0.45,1.0255859375,0.97236328125,0.05322265625
4,0.55,1.04375,0.979296875,0.064453125
4,0.65,1.0716796875,0.9931640625,0.07851562500000009
4,0.75,1.1345703125,1.0251953125,0.109375
5,0.25,0.997265625,0.9595703125,0.03769531250000002
5,0.35,1.00732421875,0.966015625,0.041308593749999956
5,0.45,1.0169921875,0.9685546875,0.04843750000000013
5,0.55,1.0236328125,0.9732421875,0.05039062500000002
5,0.65,1.0318359375,0.9787109375,0.05312499999999987
5,0.75,1.0474609375,0.98837890625,0.05908203124999989
6,0.25,0.9822265625,0.9767578125,0.005468749999999911
6,0.35,0.98916015625,0.98173828125,0.007421875000000022
6,0.45,1.00400390625,0.98447265625,0.01953124999999989
6,0.55,1.00390625,0.98955078125,0.014355468750000044
6,0.65,1.00947265625,1.001953125,0.007519531250000044
6,0.75,1.02119140625,1.00986328125,0.011328125000000133
7,0.25,0.98662109375,0.965234375,0.021386718749999978
7,0.35,0.99482421875,0.9697265625,0.025097656250000044
7,0.45,1.0044921875,0.97509765625,0.02939453124999991
7,0.55,1.00830078125,0.98125,0.027050781250000044
7,0.65,1.02041015625,0.98671875,0.03369140625000011
7,0.75,1.0396484375,0.99580078125,0.04384765624999987
8,0.25,1.0173828125,0.9623046875,0.05507812499999998
8,0.35,1.0259765625,0.96845703125,0.05751953124999987
8,0.45,1.041015625,0.973828125,0.06718749999999996
8,0.55,1.0513671875,0.98046875,0.07089843749999991
8,0.65,1.0654296875,0.9916015625,0.07382812500000002
8,0.75,1.0951171875,0.99970703125,0.09541015625000004
9,0.25,0.9916015625,0.963427734375,0.028173828125000022
9,0.35,0.99814453125,0.96650390625,0.03164062499999998
9,0.45,1.0029296875,0.9712890625,0.03164062499999998
9,0.55,1.00625,0.97685546875,0.029394531250000133
9,0.65,1.012109375,0.9794921875,0.03261718750000009
9,0.75,1.020703125,0.9869140625,0.03378906250000002
10,0.25,0.963134765625,0.961572265625,0.0015625000000000222
10,0.35,0.965625,0.965234375,0.0003906249999999778
10,0.45,0.9681640625,0.97109375,-0.0029296875
10,0.55,0.97373046875,0.97783203125,-0.004101562499999933
10,0.65,0.975,1.00478515625,-0.02978515625000011
10,0.75,0.983984375,1.01298828125,-0.029003906249999933
11,0.25,1.00751953125,0.97626953125,0.03125
11,0.35,1.01396484375,0.977734375,0.03623046874999991
11,0.45,1.01728515625,0.97861328125,0.03867187500000002
11,0.55,1.02421875,0.99013671875,0.03408203124999998
11,0.65,1.028125,1.00107421875,0.027050781250000044
11,0.75,1.0330078125,1.0140625,0.018945312499999867
12,0.25,0.958447265625,0.98037109375,-0.021923828124999933
12,0.35,0.96142578125,0.98154296875,-0.020117187500000022
12,0.45,0.994140625,0.98720703125,0.006933593750000022
12,0.55,1.0001953125,0.99375,0.006445312500000022
12,0.65,1.0083984375,1.000390625,0.008007812499999822
12,0.75,1.01416015625,1.01875,-0.004589843750000044
13,0.25,1.0013671875,0.963671875,0.03769531250000013
13,0.35,1.0046875,0.96962890625,0.03505859374999998
13,0.45,1.00986328125,0.97646484375,0.03339843749999993
13,0.55,1.01328125,0.98271484375,0.030566406249999956
13,0.65,1.017578125,0.99140625,0.026171874999999956
13,0.75,1.0341796875,1.0349609375,-0.0007812499999999556
14,0.25,1.021484375,1.009375,0.012109375000000089
14,0.35,1.0263671875,1.0259765625,0.0003906250000000888
14,0.45,1.0310546875,1.0361328125,-0.005078125000000044
14,0.55,1.04453125,1.0455078125,-0.0009765625
14,0.65,1.050390625,1.052734375,-0.002343750000000089
14,0.75,1.05703125,1.0720703125,-0.015039062499999867
15,0.25,1.00146484375,0.97763671875,0.023828124999999978
15,0.35,1.00869140625,0.9853515625,0.02333984375000009
15,0.45,1.01474609375,0.998828125,0.015917968749999956
15,0.55,1.019140625,1.01015625,0.008984374999999822
15,0.65,1.031640625,1.0634765625,-0.03183593749999991
15,0.75,1.058203125,1.10390625,-0.04570312500000018
16,0.25,1.02646484375,0.9701171875,0.05634765624999993
16,0.35,1.03125,0.97646484375,0.05478515625000002
16,0.45,1.03837890625,0.9861328125,0.05224609375
16,0.55,1.0521484375,0.99306640625,0.05908203125000011
16,0.65,1.065625,1.0001953125,0.0654296875
16,0.75,1.0794921875,1.0095703125,0.06992187500000013
17,0.25,1.01474609375,0.96708984375,0.047656249999999956
17,0.35,1.02470703125,0.975390625,0.04931640625
17,0.45,1.0326171875,0.990625,0.04199218750000011
17,0.55,1.0451171875,1.002734375,0.04238281250000009
17,0.65,1.0666015625,1.02158203125,0.04501953125000013
17,0.75,1.0927734375,1.04453125,0.04824218750000009
18,0.25,1.0822265625,0.988671875,0.09355468750000007
18,0.35,1.0927734375,0.99580078125,0.09697265624999996
18,0.45,1.108203125,1.01611328125,0.09208984374999996
18,0.55,1.129296875,1.02451171875,0.10478515625000018
18,0.65,1.1603515625,1.040625,0.11972656250000013
18,0.75,1.1892578125,1.0501953125,0.13906249999999987
19,0.25,1.0494140625,0.98828125,0.06113281249999991
19,0.35,1.065625,0.99677734375,0.06884765625
19,0.45,1.0787109375,1.00927734375,0.06943359374999991
19,0.55,1.0970703125,1.02236328125,0.07470703125
19,0.65,1.1248046875,1.0330078125,0.091796875
19,0.75,1.160546875,1.047265625,0.11328125
20,0.25,1.0228515625,0.97919921875,0.043652343750000044
20,0.35,1.033203125,0.987109375,0.046093750000000044
20,0.45,1.0513671875,0.995703125,0.05566406249999989
20,0.55,1.0681640625,1.00751953125,0.06064453124999991
20,0.65,1.08515625,1.02666015625,0.05849609375000009
20,0.75,1.12265625,1.040625,0.08203125
21,0.25,1.028125,0.9705078125,0.0576171875
21,0.35,1.0455078125,0.9763671875,0.06914062499999996
21,0.45,1.0556640625,0.9857421875,0.06992187500000002
21,0.55,1.07265625,0.995703125,0.07695312500000007
21,0.65,1.09921875,1.0025390625,0.0966796875
21,0.75,1.1361328125,1.0099609375,0.12617187500000004
22,0.25,1.01796875,0.97119140625,0.04677734375000009
22,0.35,1.026171875,0.97861328125,0.04755859374999993
22,0.45,1.04072265625,0.98671875,0.05400390625000007
22,0.55,1.0552734375,0.99013671875,0.06513671874999993
22,0.65,1.074609375,0.994921875,0.07968750000000013
22,0.75,1.09833984375,1.00830078125,0.09003906250000004
23,0.25,1.03271484375,0.9708984375,0.061816406249999956
23,0.35,1.0421875,0.97626953125,0.06591796875
23,0.45,1.051953125,0.9826171875,0.0693359375
23,0.55,1.05751953125,0.9908203125,0.06669921875000007
23,0.65,1.06884765625,0.99990234375,0.06894531250000002
23,0.75,1.08544921875,1.00830078125,0.0771484375
24,0.25,1.07421875,0.971044921875,0.10317382812499998
24,0.35,1.089453125,0.98037109375,0.10908203124999993
24,0.45,1.09736328125,0.99013671875,0.10722656250000007
24,0.55,1.10361328125,0.99697265625,0.10664062499999993
24,0.65,1.1171875,1.009375,0.10781250000000009
24,0.75,1.1326171875,1.02509765625,0.10751953124999991
25,0.25,1.0583984375,0.98388671875,0.07451171874999996
25,0.35,1.07080078125,0.99560546875,0.0751953125
25,0.45,1.076953125,1.0048828125,0.07207031249999996
25,0.55,1.0849609375,1.01875,0.06621093749999996
25,0.65,1.09248046875,1.03369140625,0.058789062500000044
25,0.75,1.099609375,1.05068359375,0.04892578124999991
